precision,recall,accuracy,AP,AUC,CLL,HRcora_new_ind_1
,,,,,,
cora_new_ind,,,,,,
0,0,0.639949109414758,0.75,0.5,-3.0338514,0
citeseer_new_ind_95,,,,,,
0,0,0.639949109414758,0.416666666666667,0.125,-3.9755523,0
citeseer_new_ind_96,,,,,,
0,0,0.639949109414758,0.5,0.25,-3.4907813,0
citeseer_new_ind_97,,,,,,
0,0,0.639949109414758,0.416666666666667,0.125,-3.9755523,0
citeseer_new_ind_98,,,,,,
0,0,0.639949109414758,0.416666666666667,0.125,-3.556523,0
citeseer_new_ind_99,,,,,,
0,0,0.639949109414758,0.5,0.25,-3.5401924,0
citeseer_new_ind_100,,,,,,
0,0,0.639949109414758,0.5,0,-3.6222646,0
photos_new_ind_1,,,,,,
0,0,0.87767697014453,0.392380952380952,0.22,-78.26825,0
photos_new_ind_2,,,,,,
0,0,0.871821922143686,0.392380952380952,0.18,-109.99467,0
photos_new_ind,,,,,,
0.990593558373519,0.693465032924898,0.843710927731933,0.897020024074653,0.84025657664034,-inf,0.992602625546989
photos_new_ind_1,,,,,,
0,0,0.774840474020055,0.75,0.5,-9.161502,0
photos_new_ind_2,,,,,,
0,0,0.774840474020055,0.5,0.333333333333333,-86.13663,0
photos_new_ind_3,,,,,,
0,0,0.774840474020055,1,1,-38.81595,0
photos_new_ind_4,,,,,,
0,0,0.774840474020055,1,1,-9.199314,0
photos_new_ind_5,,,,,,
0,0,0.774840474020055,0.583333333333333,0.5,-69.60878,0
photos_new_ind_6,,,,,,
0,0,0.774840474020055,0.525396825396825,0.5,-19.673784,0
photos_new_ind_7,,,,,,
0,0,0.774840474020055,1,1,-38.77208,0
photos_new_ind_8,,,,,,
0,0,0.774840474020055,0.75,0.5,-60.888916,0
photos_new_ind_9,,,,,,
0,0,0.774840474020055,0.522222222222222,0.44,-189.33348,0
photos_new_ind_10,,,,,,
0,0,0.774840474020055,0.75,0.625,-108.32894,0
photos_new_ind_11,,,,,,
0,0,0.774840474020055,0.75,0.5,-86.487755,0
photos_new_ind_12,,,,,,
0,0,0.774840474020055,0.619285714285714,0.54,-20.126549,0
photos_new_ind_13,,,,,,
0,0,0.774840474020055,0.5,0.375,-96.02286,0
photos_new_ind_14,,,,,,
0,0,0.774840474020055,0.666666666666667,0.5,-78.793915,0
photos_new_ind_15,,,,,,
0,0,0.774840474020055,0.5,0.40625,-112.400246,0
photos_new_ind_16,,,,,,
0,0,0.774840474020055,0.666666666666667,0.444444444444444,-73.82443,0
photos_new_ind_17,,,,,,
0,0,0.774840474020055,0.722222222222222,0.555555555555556,-121.72984,0
photos_new_ind_18,,,,,,
0,0,0.774840474020055,0.466666666666667,0.222222222222222,-22.295908,0
photos_new_ind_19,,,,,,
0,0,0.774840474020055,0.5,0.5,-74.88917,0
photos_new_ind_20,,,,,,
0,0,0.774840474020055,0.733333333333333,0.666666666666667,-62.325302,0
photos_new_ind_21,,,,,,
0,0,0.774840474020055,0.604166666666667,0.5625,-61.469757,0
photos_new_ind_22,,,,,,
0,0,0.774840474020055,1,1,-26.202072,0
photos_new_ind_23,,,,,,
1,0.5,0.774840474020055,1,1,-8.36097,1
photos_new_ind_24,,,,,,
0,0,0.774840474020055,0.666666666666667,0.5,-113.603165,0
photos_new_ind_25,,,,,,
0,0,0.774840474020055,0.722222222222222,0.555555555555556,-22.795406,0
photos_new_ind_26,,,,,,
0,0,0.774840474020055,0.833333333333333,0.875,-32.30305,0
photos_new_ind_27,,,,,,
0,0,0.774840474020055,0.8125,0.71875,-inf,0
photos_new_ind_28,,,,,,
1,0.5,0.774840474020055,0.75,0.625,-56.454056,1
photos_new_ind_29,,,,,,
0,0,0.774840474020055,0.7,0.555555555555556,-100.20546,0
photos_new_ind_30,,,,,,
0,0,0.774840474020055,0.833333333333333,0.75,-61.47134,0
photos_new_ind_31,,,,,,
0,0,0.774840474020055,0.644444444444444,0.666666666666667,-42.884045,0
photos_new_ind_32,,,,,,
0,0,0.774840474020055,1,1,-37.731476,0
photos_new_ind_33,,,,,,
0,0,0.774840474020055,0.5,0.5,-6.9503026,0
photos_new_ind_34,,,,,,
0,0,0.774840474020055,0.571428571428571,0.5,-19.328442,0
photos_new_ind_35,,,,,,
0,0,0.774840474020055,1,1,-26.246922,0
photos_new_ind_36,,,,,,
0,0,0.774840474020055,0.75,0.5,-8.917765,0
photos_new_ind_37,,,,,,
0,0,0.774840474020055,0.75,0.5,-9.174637,0
photos_new_ind_38,,,,,,
0,0,0.774840474020055,0.583333333333333,0.625,-90.68631,0
photos_new_ind_39,,,,,,
0,0,0.774840474020055,0.75,0.625,-60.545467,0
photos_new_ind_40,,,,,,
0,0,0.774840474020055,0.833333333333333,0.875,-47.280865,0
photos_new_ind_41,,,,,,
